Instructions,Responses
O que estabelece a Resolução N° 044/2015 da UFAM?,A Resolução N° 044/2015 estabelece bonificações para candidatos aos cursos de graduação da UFAM que tenham cursado integralmente o ensino médio em instituições de ensino situadas no Estado do Amazonas.
Quem tem direito à Bonificação Estadual (BE) na UFAM?,Os candidatos que tenham cursado integralmente o ensino médio em instituições de ensino situadas no Estado do Amazonas têm direito ao acréscimo de uma Bonificação Estadual (BE) às notas que obtiverem no ENEM a cada ano.
Qual é o cálculo da Bonificação Estadual (BE)?,"A Bonificação Estadual (BE) é calculada a partir do Coeficiente de Bonificação Estadual (CBE), que é dado pela fórmula: CBE = (MN - ME) + 1 / MN, onde MN é a média aritmética dos resultados do ENEM em todo o país e ME é a média dos resultados do ENEM dos estudantes que concluíram o ensino médio em Amazonas."
Como é calculada a Nota Final (NF) do candidato?,"A Nota Final (NF) do candidato é calculada pela fórmula NF = NC X CBE, onde NC é a nota do candidato no ENEM."
Quem tem direito à Bonificação para o Interior (BI)?,Os candidatos que tenham cursado integralmente o ensino médio em instituições de ensino situadas em municípios do interior do Amazonas têm direito ao acréscimo de uma Bonificação para o Interior (BI) às notas que obtiverem no Processo Seletivo do Interior (PSI) a cada ano.
Qual é a fórmula para calcular a Bonificação para o Interior (BI)?,A Bonificação para o Interior (BI) é calculada a partir do Coeficiente de Bonificação para o Interior (CBI) pela fórmula: CBI = (MN - ME) + 1 / MN.
Qual é a diferença entre a Bonificação Estadual (BE) e a Bonificação para o Interior (BI)?,"A Bonificação Estadual (BE) se aplica a candidatos que cursaram o ensino médio em instituições situadas em qualquer parte do Estado do Amazonas, enquanto a Bonificação para o Interior (BI) é específica para candidatos que cursaram em municípios do interior do Amazonas."
Quais são os documentos necessários para comprovar o direito às bonificações?,Os documentos necessários para comprovação do direito às bonificações serão estabelecidos nos editais correspondentes aos respectivos processos seletivos.
O que acontece em casos omissos não disciplinados pela Resolução?,Os casos omissos e não disciplinados pela Resolução N° 044/2015 serão decididos pela Câmara de Ensino de Graduação - CEG/CONSEPE.
Quando entra em vigor a Resolução N° 044/2015?,"A Resolução N° 044/2015 entra em vigor na data da sua publicação, revogadas as disposições em contrário."
Qual é o papel da Pré-Reitoria de Ensino de Graduação em relação aos coeficientes das bonificações?,"A Pré-Reitoria de Ensino de Graduação é responsável por divulgar anualmente os coeficientes das bonificações, que serão publicados nos editais dos respectivos processos seletivos."
Qual é a média que deve ser considerada para o cálculo do CBE?,"Para o cálculo do CBE, deve-se considerar a média aritmética dos resultados obtidos pelos participantes do ENEM em todo o país nos quatro anos imediatamente anteriores ao ano da aferição da BE."
Qual é a média que deve ser considerada para o cálculo do CBI?,"Para o cálculo do CBI, deve-se considerar a média aritmética dos resultados obtidos pelos participantes do ENEM nos quatro anos imediatamente anteriores ao ano da aferição da BI que concluíram o ensino médio em instituições de ensino localizadas no Amazonas."
Como é definida a Nota Final (NF) para candidatos que recebem BI?,"Para candidatos que recebem a Bonificação para o Interior (BI), a Nota Final (NF) é calculada pela fórmula NF = NC X CBI, onde NC é a nota do candidato no ENEM."
Qual é a média a ser usada no cálculo das bonificações?,"A média a ser usada no cálculo das bonificações é a média aritmética obtida pelos participantes do ENEM nos quatro anos anteriores, tanto para a média nacional (MN) quanto para a média dos estudantes do Amazonas (ME)."
A quem se aplica a política de interiorização da UFAM?,A política de interiorização da UFAM se aplica aos cursos oferecidos nas Unidades Acadêmicas localizadas no interior do Estado do Amazonas.
Qual é o objetivo das bonificações instituídas pela Resolução N° 044/2015?,"O objetivo das bonificações é compensar as diferenças recorrentes nos desempenhos dos estudantes que cursaram o Ensino Médio em instituições situadas no Estado do Amazonas, visando garantir mais oportunidades educacionais."
O que é considerado para o cálculo do Coeficiente de Bonificação Estadual?,"Para o cálculo do Coeficiente de Bonificação Estadual (CBE), considera-se a média nacional (MN) e a média dos estudantes do Amazonas (ME) nos últimos quatro anos do ENEM."
O que são Atividades Complementares segundo a Resolução 018/2007 da UFAM?,"Atividades Complementares são aquelas relacionadas com o ensino, a pesquisa e a extensão, que devem ser validadas pela Coordenação do Curso."
Qual é a carga horária mínima exigida para Atividades Complementares nos cursos de graduação da UFAM?,"A carga horária mínima exigida para Atividades Complementares é de 200 horas, conforme a Resolução CNE/CP 2 de 19 de fevereiro de 2002."
Quais são as modalidades de Atividades Complementares de Ensino?,"As modalidades incluem ser ministrante de curso de extensão, atividade de monitoria, participação em Semana de Curso, participação em Programa Especial de Treinamento (PET), carga horária optativa excedente, outras atividades de ensino a critério da coordenação, e estágios não obrigatórios vinculados ao ensino."
Quem avalia as Atividades Complementares?,"As Atividades Complementares devem ser avaliadas pela Comissão de Avaliação de Atividades Complementares, composta por até quatro professores do curso, nomeados pelo colegiado."
